id,origin,created_at,updated_at,area,charter,test_data,scale,actions,expected,actual,status,severity,defect_id,fix,regression,evidence,notes
UAT-011,discovered,2026-08-16T15:08:00+09:00,2026-08-16T15:12:00+09:00,toolchain再現性,project指定pnpm versionと実行環境が不一致な場合に曖昧なbuildを続けないか探索する,bundled pnpm 11.19.0 / project required 11.21.0 / Volta pnpm 11.21.0,release,異なるpnpmでbuildし、拒否内容と正規toolchainでの回復を確認,不一致を明示的に拒否し、正しい版では同じbuildが成功する,11.19.0はERR_PNPM_UNSUPPORTED_ENGINEで停止。11.21.0はbuild成功,passed,info,,product code変更なし,pnpm build再実行成功,terminal output,Codex workspace bundleのpnpmは利用せずproject環境を使用
UAT-012,discovered,2026-08-16T15:31:00+09:00,2026-08-16T15:47:00+09:00,文書切替・scroll,長い文書で下部へ移動後、短い別文書を通常openしたとき先頭行がsticky headerへ隠れないか探索する,create-order.ts 41 lines→src/fixture.ts 14 lines / same left pane,medium,全文検索で長文41行へjump / file treeから短文をopen / scrollTopとheader・line位置を測定,新しい文書はscrollTop 0で始まり、line 1 topがsticky header bottom以降,修正前 scrollTop=56、line1 top=113 < header bottom=152。修正後 scrollTop=0、line1 top=169 = header bottom=169,fixed-pass,major,UAT-DEF-001,各documentのscrollを記録し、未読tabは0・既読tabは元位置へ復元,targeted E2E + full E2E + 修正後production buildを新規browser tabで再操作,browser metrics / before-after screenshots,search・reference line navigationは同一document keyのため保持
UAT-013,discovered,2026-08-16T15:44:00+09:00,2026-08-16T15:47:00+09:00,大規模repository,実コードベース相当の大量pathでfile treeの展開・open・closeがDOM肥大や操作停止を起こさないか探索する,"5,000 files / packages/package-NNNN/src/index.ts / 15,000超tree rows",large,全ファイル展開 / virtualization属性・row数・実DOM数測定 / first file open・close,logical rowsが増えても実DOMを制限し、文書操作を継続できる,"15,000超logical rowsに対し実DOM rowは100未満。open・closeを含め323msでE2E通過",passed,,,product code変更なし,full E2Eで継続実行,Playwright Chromium metrics,"操作中の50-file fixtureから5,000-file route fixtureへ拡張"
UAT-014,discovered,2026-08-16T15:48:00+09:00,2026-08-16T15:50:00+09:00,npm package metadata,npm publish dry-runがpackage metadataを暗黙補正せず、registryへ渡す内容を再現可能に表示するか探索する,bin=./dist/cli.mjs / repository.url=https URL / private=true,release,一時npm cacheでpublish --dry-run / 警告確認 / metadata修正 / offline dry-run再実行,自動補正警告がなく、prepack済み440 filesを公開候補として列挙する,修正前はbin script name cleanedとrepository.url normalizedを警告。正規化後はoffline dry-run exit 0・警告なし,fixed-pass,minor,UAT-DEF-002,binから先頭./を除去し、repository.urlをgit+https形式へ正規化,package smoke + npm publish --dry-run --offline,terminal output / package.json,初回のhome npm cache EPERMは一時cacheで分離。実publishは未実施
UAT-015,persona,2026-08-16T15:52:00+09:00,2026-08-16T15:52:00+09:00,初見レビュアー,rvwを初めて使う開発者として、説明なしでレビュー開始地点・変更範囲・次の行動を理解できるか探索する,fixture PR / 初回表示 / 2 commits / 3 changed files,small,画面を上から読む / PR本文→変更file→commentまで迷い方を観察 / 用語とbutton名を確認,主要な概念と現在地が自己説明的で、危険操作と通常操作を区別できる,初見でレビュー開始点は理解可能。危険操作の削除意図が色だけに依存していたため明示名へ修正し、cancelで状態保持を確認,fixed-pass,,UAT-DEF-007,reset menuを『ローカル状態を削除して再構築』へ変更,full E2E 59/59,in-app browser DOM + uat-regressions,ペルソナ: GitHub review経験あり・rvw未経験
UAT-016,persona,2026-08-16T15:52:00+09:00,2026-08-16T15:52:00+09:00,熟練シニアレビュアー,短時間で重要箇所をtriageする利用者として、検索・Quick Open・commit range・2paneを高速に往復して破綻しないか探索する,"50 files→5,000 files / deep paths / multiple matches",large,keyboard中心の連続操作 / 絞り込み中の範囲変更 / tab大量open-close / 同期割込み,高速操作でも選択・focus・結果件数・文書identityが一貫する,"Quick Open・全文検索・commit range・2pane・10+ tabsを連続操作。5,000-file treeでも実DOM100未満かつopen/close継続",passed,,,product code変更なし,"full E2E 59/59 / 5,000-file stress",review-flow + browser DOM,ペルソナ: shortcutと並列閲覧を常用
UAT-017,persona,2026-08-16T15:52:00+09:00,2026-08-16T15:52:00+09:00,キーボードのみの利用者,pointing deviceなしで主要機能へ到達し、dialog・menu・tab・commentからfocusを失わず戻れるか探索する,Tab / Shift+Tab / Enter / Space / Escape / Arrow keys / Cmd+P,medium,初期focusから主要操作を巡回 / overlay開閉 / tablist移動 / divider調整 / comment submit-cancel,focus indicatorが見え、順序・復帰先・keyboard semanticが一貫する,topbar/pane menuのfocus・Arrow・Home/End・Escape・outside dismissalを修正し、skip linkとtablist keyboardを確認,fixed-pass,,UAT-DEF-003/UAT-DEF-006/UAT-DEF-008,menu keyboard規約とレビュー本文skip linkを追加,full E2E 59/59,in-app browser + uat-regressions,ペルソナ: マウスを使えない・使わない
UAT-018,persona,2026-08-16T15:52:00+09:00,2026-08-16T15:52:00+09:00,弱視・高倍率利用者,200%相当の拡大と狭い実効viewportで、情報欠落・重なり・横方向の行き止まりなくレビューできるか探索する,browser zoom / 640x720相当 / light-dark-system,medium,拡大 / topbar・sidebar・2pane・dialog・comment menuを操作 / horizontal scroll到達性を確認,操作対象が画面外へ固定されず、文字やfocus ringが切れずに到達できる,640x720と400x720でtopbar action・menu・commit dialogをviewport内に保持し、workspace横scrollの到達を確認,passed,,,product code変更なし,full E2E 59/59 / responsive targeted pass,browser screenshot + bounding boxes,ペルソナ: 画面拡大と高コントラスト設定を利用
UAT-019,persona,2026-08-16T15:52:00+09:00,2026-08-16T15:52:00+09:00,スクリーンリーダー利用者,視覚配置に依存せずlandmark・heading・accessible name・live statusから現在地と結果を理解できるか探索する,DOM accessibility tree / loading-success-error / selected-expanded-pressed states,medium,landmark順を読む / buttonとtabの名前重複を確認 / search・sync・error・comment件数の通知を確認,名前と状態だけで操作を識別でき、動的更新が適切なroleで通知される,landmark・heading・name・expanded/pressed/selected・live statusをDOM treeで確認。sidebar名、skip link、危険操作名を補強,fixed-pass,,UAT-DEF-006/UAT-DEF-007,レビューサイドバーlandmark名と危険操作の自己説明名を追加,full E2E 59/59,browser accessibility DOM snapshot,ペルソナ: 音声出力を主に利用
UAT-020,persona,2026-08-16T15:52:00+09:00,2026-08-16T15:52:00+09:00,中断・誤操作が多い利用者,comment入力中の別操作・overlay連打・close/delete誤操作・同期失敗から、入力や閲覧contextを回復できるか探索する,未送信comment / multiline / Escape / tab close / server loss / confirm cancel,medium,入力途中でpane・tab・menuを切替 / cancelと再open / 危険操作confirm / offline後に復旧,未送信内容の扱いが予測可能で、破壊操作は明示され、回復不能な損失がない,2行のfile comment draftをtab往復後に復元。Escape cancel後は再往復しても復元せず、送信・navigation時clearも維持,fixed-pass,major,UAT-DEF-004,文書・commit範囲ごとのcomment draft保持を追加,full E2E 59/59,in-app browser + uat-regressions,ペルソナ: 割込みの多いon-call担当
UAT-021,persona,2026-08-16T15:52:00+09:00,2026-08-16T15:52:00+09:00,雑多なrepositoryのmaintainer,Unicode・空file・symlink・submodule・極端に長いpath・同名fileを含むrepositoryで誤認や操作不能がないか探索する,日本語・emoji・space・combining characters / empty / symlink / submodule / long same-name paths,mixed,tree・Quick Open・search・tab・comment対象を確認 / availabilityとentry kindの説明を比較,path identityとfile kindを誤らず、表示不能状態でも対象を特定してfile commentできる,Unicode正規化差、日本語/emoji、空file、symlink、submodule、12階層path、同名3fileをproduction UIで横断,fixed-pass,major,UAT-DEF-005,duplicate basename tabのみ最短の一意な親path suffixを表示,full E2E 59/59,route fixture + Quick Open/search/tab browser E2E,ペルソナ: 歴史が長い多言語monorepoを保守
UAT-022,discovered-persona,2026-08-16T16:08:00+09:00,2026-08-16T16:18:00+09:00,キーボード・アクションメニュー,ARIA menuをキーボードのみで開き、項目間を標準キーで移動して閉じた後も現在地を失わないか探索する,6 menu items / menuitem・menuitemradio・danger action,small,その他の操作を開く / ArrowDown・ArrowUp・Home・End / wrap / Escape,open時に先頭項目へfocusし、上下・端移動が循環し、Escapeでtriggerへfocusが戻る,修正前はtriggerにfocusが残りArrowDown無反応。修正後は全移動・wrap・Escape復帰が成功,fixed-pass,major,UAT-DEF-003,menu open後のfocus移動、ArrowUp/Down・Home/End処理、Escapeのtrigger復帰を追加,uat-regressions keyboard navigation E2E pass,test/e2e/uat-regressions.spec.ts / in-app browser DOM,ペルソナ切替で発見。実browserとPlaywrightの双方で再現
UAT-023,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,"reviews a line across commits, preserves the tabbed UI, and resolves it",fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:13 のユーザーフローを実行し、expect(page.getByRole(""heading"", { name: ""Fixture review"" }))を観測","expect(page.getByRole(""heading"", { name: ""Fixture review"" })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:13,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-024,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,keeps a comment on the current PR body placed with its saved hash and quote,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,review-flow.spec.ts:818 のユーザーフローを実行し、expect(createResponse.ok())を観測,expect(createResponse.ok()).toBe(true) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:818,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-025,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,keeps PR body preview comments interactive and stacks collapsed source menus without layout shifts,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,review-flow.spec.ts:855 のユーザーフローを実行し、expect(refreshResponse.ok())を観測,expect(refreshResponse.ok()).toBe(true) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:855,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-026,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,アクセシビリティ・表示,restores the shared theme after browser storage is cleared,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1011 のユーザーフローを実行し、expect( page.locator("".topbar"").getByRole(""heading"", { name: /Fixture review/ }), )を観測","expect( page.locator("".topbar"").getByRole(""heading"", { name: /Fixture review/ }), ).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1011,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-027,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,起動・統合フロー,selects and copies code text with native browser selection,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,review-flow.spec.ts:1057 のユーザーフローを実行し、expect(fixtureIdentifier)を観測,expect(fixtureIdentifier).toBeVisible() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1057,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-028,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,探索・検索,"searches while typing, groups occurrences, and reveals a result without changing display mode",fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1101 のユーザーフローを実行し、expect(page.getByRole(""button"", { name: ""検索"", exact: true }))を観測","expect(page.getByRole(""button"", { name: ""検索"", exact: true })).toHaveAttribute( ""aria-expanded"", ""true"", ) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1101,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
UAT-029,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,アクセシビリティ・表示,keeps every sidebar stack heading visible in a short viewport,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1177 のユーザーフローを実行し、expect(page.getByRole(""heading"", { name: ""Fixture review"" }))を観測","expect(page.getByRole(""heading"", { name: ""Fixture review"" })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1177,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-030,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,起動・統合フロー,keeps useful minimum heights while sizing expanded sidebar stacks by content,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1204 のユーザーフローを実行し、expect(page.getByRole(""button"", { name: ""ウォークスルー 5"" }))を観測","expect(page.getByRole(""button"", { name: ""ウォークスルー 5"" })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1204,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-031,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,opens a fuzzy-matched file from Cmd/Ctrl+P in the active pane,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1222 のユーザーフローを実行し、expect(page.getByRole(""button"", { name: ""src/new.ts"", exact: true }))を観測","expect(page.getByRole(""button"", { name: ""src/new.ts"", exact: true })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1222,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-032,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,registers the browser document and releases it when the tab closes,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1267 のユーザーフローを実行し、expect .poll(async () => { const response = (await (await request.get(""/api/test/viewers"")).json()) as { activeViewers: string[]; }; viewerId = response.activeViewers.find((id) => !existingViewers.has(id)) ?? """"; return viewerId; })を観測","expect .poll(async () => { const response = (await (await request.get(""/api/test/viewers"")).json()) as { activeViewers: string[]; }; viewerId = response.activeViewers.find((id) => !existingViewers.has(id)) ?? """"; return viewerId; }) .toMatch(/^[0-9a-f-]{36}$/i) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1267,matcher=toMatch / 697 unique assertionsから51 flowsをround-robin抽出
UAT-033,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,closes other or all tabs within the selected pane,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"review-flow.spec.ts:1303 のユーザーフローを実行し、expect(leftPane.getByRole(""tab""))を観測","expect(leftPane.getByRole(""tab"")).toHaveCount(3) が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1303,matcher=toHaveCount / 697 unique assertionsから51 flowsをround-robin抽出
UAT-034,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,文書閲覧,keeps a large all-files tree responsive while documents open and close,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,review-flow.spec.ts:1352 のユーザーフローを実行し、expect(virtualTree)を観測,"expect(virtualTree).toHaveAttribute(""data-virtualized"", ""true"") が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,review-flow.spec.ts:1352,matcher=toHaveAttribute / 697 unique assertionsから51 flowsをround-robin抽出
UAT-035,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,commit範囲・diff,uses the comparison base for a PR range starting with a merge-back commit,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:38 のユーザーフローを実行し、expect(page.getByRole(""button"", { name: /^対象commit:/ }))を観測","expect(page.getByRole(""button"", { name: /^対象commit:/ })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:38,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-036,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,探索・検索,uses path-specific fixture documents and a complete search index,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:47 のユーザーフローを実行し、expect(readmeDiff.ok())を観測,expect(readmeDiff.ok()).toBe(true) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:47,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-037,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,障害復旧・同期,rejects malformed and unknown pull request IDs,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:97 のユーザーフローを実行し、expect( page.getByText(""Pull Request IDの形式が正しくありません。"", { exact: false }), )を観測","expect( page.getByText(""Pull Request IDの形式が正しくありません。"", { exact: false }), ).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:97,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-038,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,探索・検索,restores focus to the actions button after Quick Open is closed from its menu,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:120 のユーザーフローを実行し、expect(quickOpenInput)を観測,expect(quickOpenInput).toBeFocused() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:120,matcher=toBeFocused / 697 unique assertionsから51 flowsをround-robin抽出
UAT-039,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,discards in-memory comment drafts after a confirmed reset,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:284 のユーザーフローを実行し、expect(viewResponse.ok())を観測,expect(viewResponse.ok()).toBe(true) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:284,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-040,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,文書閲覧,distinguishes virtual and repository documents with the same path,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:431 のユーザーフローを実行し、expect(palette.getByRole(""option"", { name: /Pull Request\.md（PR本文）/ }))を観測","expect(palette.getByRole(""option"", { name: /Pull Request\.md（PR本文）/ })).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:431,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-041,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,障害復旧・同期,keeps cached review content and explains how to recover from server loss,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:605 のユーザーフローを実行し、expect(pullRequestTitle)を観測,expect(pullRequestTitle).toBeVisible() が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:605,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-042,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,enriches PR Markdown comment targets like the production service,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,uat-regressions.spec.ts:639 のユーザーフローを実行し、expect(response.ok())を観測,expect(response.ok()).toBe(true) が成立する,production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:639,matcher=toBe / 697 unique assertionsから51 flowsをround-robin抽出
UAT-043,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,コメント,allows file-level comments while line comments stay unavailable for binary files,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:657 のユーザーフローを実行し、expect(page.getByText(""非UTF-8またはbinaryのため本文を表示できません。""))を観測","expect(page.getByText(""非UTF-8またはbinaryのため本文を表示できません。"")).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:657,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-044,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,障害復旧・同期,shows a recoverable error when the lazy document viewer cannot load,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:674 のユーザーフローを実行し、expect( page.getByText(""文書ビューアーを読み込めませんでした。"", { exact: true }), )を観測","expect( page.getByText(""文書ビューアーを読み込めませんでした。"", { exact: true }), ).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:674,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
UAT-045,e2e-observation,2026-08-16T16:20:00+09:00,2026-08-16T16:20:00+09:00,タブ・2ペイン,defaults Markdown to preview and preserves an explicit mode per document tab,fixture PR / production build / Chromium / path・commit・comment・walkthrough固有データ,acceptance,"uat-regressions.spec.ts:692 のユーザーフローを実行し、expect(page.locator(""diffs-container""))を観測","expect(page.locator(""diffs-container"")).toBeVisible() が成立する",production buildのChromium full E2Eでassertion成立,passed,,,product code変更なし,full E2E 59/59,uat-regressions.spec.ts:692,matcher=toBeVisible / 697 unique assertionsから51 flowsをround-robin抽出
